verse_number,tantra,section,english_title
"1467","Tantra Five","JNANA","Jnana Path Most Exalted"
"1468","Tantra Five","JNANA","Jnani Transcends Nada"
"1469","Tantra Five","JNANA","Stages of Attainment Through Jnana"
"1470","Tantra Five","JNANA","Unitive Attainment of Jnani"
"1471","Tantra Five","JNANA","Jnana is Life-Boat"
"1472","Tantra Five","JNANA","Jnani Becomes Light Divine"
"1473","Tantra Five","JNANA","Jnani’s Attainments are Unique"
"1474","Tantra Five","JNANA","Attainments at Four Jnana Stages"
"1475","Tantra Five","JNANA","dnani Attains Unitive Wisdom in the Absolute"
"1476","Tantra Five","JNANA","Initiation Rites in Jnana"
"1477","Tantra Five","SANMARGA (PATH OF KNOWLEDGE)","San Marga"
"1478","Tantra Five","SANMARGA (PATH OF KNOWLEDGE)","Nandi Showed Sanmarga Path"
"1479","Tantra Five","SANMARGA (PATH OF KNOWLEDGE)","Guru-Adoration is Sanmarga"
"1480","Tantra Five","SANMARGA (PATH OF KNOWLEDGE)","Sanmarga Gives the Vision True"
"1481","Tantra Five","SANMARGA (PATH OF KNOWLEDGE)","Sanmarga Leads to Supreme Grace-Bliss"
"1482","Tantra Five","SANMARGA (PATH OF KNOWLEDGE)","Greatness of Sanmargis"
"1483","Tantra Five","SANMARGA (PATH OF KNOWLEDGE)","Sanmarga Path Purest"
"1484","Tantra Five","SANMARGA (PATH OF KNOWLEDGE)","Other Three Paths Open of Themselves"
"1485","Tantra Five","SANMARGA (PATH OF KNOWLEDGE)","Sanmargi’s Vision"
"1486","Tantra Five","SANMARGA (PATH OF KNOWLEDGE)","‘Sanmarga Leads to Svarupa State"
"1487","Tantra Five","SANMARGA (PATH OF KNOWLEDGE)","Sanmarga is The Only Path to Finite Goal"
"1488","Tantra Five","SAHAMARGA (PATH OF YOGA)","Sanmarga is Sahamarga"
"1489","Tantra Five","SAHAMARGA (PATH OF YOGA)","Without Sahamarga They Lost All"
"1490","Tantra Five","SAHAMARGA (PATH OF YOGA)","Fruits of Yoga Samadhi"
"1491","Tantra Five","SAHAMARGA (PATH OF YOGA)","Yoga Confers Blessings of, Here and Hereafter"
"1492","Tantra Five","SAHAMARGA (PATH OF YOGA)","Yoga Leads to Supreme Awareness"
"1493","Tantra Five","SAHAMARGA (PATH OF YOGA)","Siva is in Yogi’s Thought"
"1494","Tantra Five","SAHAMARGA (PATH OF YOGA)","Love the Basis of Yoga"
"1495","Tantra Five","SATPUTRA MARGA (PATH OF KRIYA)","Path of Filial Piety Leads to Jnana"
"1496","Tantra Five","SATPUTRA MARGA (PATH OF KRIYA)","What Constitutes Kriya Path"
"1497","Tantra Five","SATPUTRA MARGA (PATH OF KRIYA)","All Nature Seeks Flowers: Why Not You?"
"1498","Tantra Five","SATPUTRA MARGA (PATH OF KRIYA)","Lord is Our Defence and Refuge"
"1499","Tantra Five","SATPUTRA MARGA (PATH OF KRIYA)","Adore Lord in Diverse Ways;, He Shall Be Yours"
"1500","Tantra Five","SATPUTRA MARGA (PATH OF KRIYA)","Approach Lord Through Kriya Path"
"1501","Tantra Five","SATPUTRA MARGA (PATH OF KRIYA)","Kriya Comes of Chariya"
"1502","Tantra Five","DASA MARGA (PATH OF DEVOTION)","Ways of Dasamarga"
"1503","Tantra Five","DASA MARGA (PATH OF DEVOTION)","Hold Fast to Chariya Path"
"1504","Tantra Five","DASA MARGA (PATH OF DEVOTION)","All Worship Began From Chariya"
"1505","Tantra Five","DASA MARGA (PATH OF DEVOTION)","Lord Appears in Love Entwined"
"1506","Tantra Five","DASA MARGA (PATH OF DEVOTION)","Be of Love and See the Lord"
"1507","Tantra Five","SALOKAM (IN GOD’S WORLD)","Successive Stages to Final Beatitude"
"1508","Tantra Five","SALOKAM (IN GOD’S WORLD)","The Four Ordinations in Kriya Worship"
"1509","Tantra Five","SAMIPAM (IN GOD’S PROXIMITY)","Transformation of World-Knowledge"
"1510","Tantra Five","SARUPAM (IN GOD’S FORM)","Only Jnana-in-Yoga Leads to Sarupa State"
"1511","Tantra Five","SARUPAM (IN GOD’S FORM)","Sarupa State by Nearness to God"
"1512","Tantra Five","SAYUJYAM (ONE IN GOD)","Stages in the Soul’s Pilgrimage"
"1513","Tantra Five","SAYUJYAM (ONE IN GOD)","Sayujyam"
"1514","Tantra Five","SATHINIPADAM (DESCENT OF GRACE)","Wooing of the Soul by the Goddess of Grace"
"1515","Tantra Five","SATHINIPADAM (DESCENT OF GRACE)","The infinite Ground of Sakti’s Descent"
"1516","Tantra Five","SATHINIPADAM (DESCENT OF GRACE)","Arul Sakti Helps Attain Liberation"
"1517","Tantra Five","SATHINIPADAM (DESCENT OF GRACE)","Grace Illumines"
"1518","Tantra Five","MANDATARAM (SLOW PACE)","Grace Leads Soul Through Successive Stages"
"1519","Tantra Five","MANDATARAM (SLOW PACE)","Descent of Grace Snaps Cycle of Births"
"1520","Tantra Five","MANDATARAM (SLOW PACE)","Lord is Soul’s Redeemer"
"1521","Tantra Five","MANDATARAM (SLOW PACE)","Siva and Sakti are One and Same"
"1522","Tantra Five","MANDATARAM (SLOW PACE)","Vision of Sakti and Siva in Union"
"1523","Tantra Five","TIVIRAM (RAPID PACE)","Fruit of Grace"
"1524","Tantra Five","TIVIRAM (RAPID PACE)","They That Adore Sakti Shall Be Granted Things"
"1525","Tantra Five","TIVIRAM (RAPID PACE)","Light of Grace Illumines the Path of Devotee"
"1526","Tantra Five","TIVIRAM (RAPID PACE)","Lord Draws Near When Grace Visits"
"1527","Tantra Five","TEEVIRA TARAM (MORE RAPID PACE)","When Grace Descends as Guru"
"1528","Tantra Five","TEEVIRA TARAM (MORE RAPID PACE)","How to Win the Goddess of Grace"
"1529","Tantra Five","TEEVIRA TARAM (MORE RAPID PACE)","Inner Light of Grace"
"1530","Tantra Five","A CRITIQUE OF FORMAL RELIGIONS)","The Six Faiths Avail Not"
"1531","Tantra Five","A CRITIQUE OF FORMAL RELIGIONS)","Formal Faiths Know not God Within"
"1532","Tantra Five","A CRITIQUE OF FORMAL RELIGIONS)","Existence of God is an Act of Faith"
"1533","Tantra Five","A CRITIQUE OF FORMAL RELIGIONS)","God is Beyond All Formal Faiths"
"1534","Tantra Five","A CRITIQUE OF FORMAL RELIGIONS)","God Can Be Reached Only by Devotion"
"1535","Tantra Five","A CRITIQUE OF FORMAL RELIGIONS)","The Six Faiths Sought not Freedom from Pasas"
"1536","Tantra Five","A CRITIQUE OF FORMAL RELIGIONS)","Path of Siva Leads to Final Liberation"
"1537","Tantra Five","A CRITIQUE OF FORMAL RELIGIONS)","The False Paths Lead not to Param"
"1538","Tantra Five","A CRITIQUE OF FORMAL RELIGIONS)","Contending Faiths Do Not Help"
"1539","Tantra Five","A CRITIQUE OF FORMAL RELIGIONS)","To Attain the Supreme Goal"
"1540","Tantra Five","A CRITIQUE OF FORMAL RELIGIONS)","God is Distant and Near"
"1541","Tantra Five","A CRITIQUE OF FORMAL RELIGIONS)","The End of Seeking"
"1542","Tantra Five","A CRITIQUE OF FORMAL RELIGIONS)","Lord and Nandi are One"
"1543","Tantra Five","A CRITIQUE OF FORMAL RELIGIONS)","God is Within You; and Yet Far Away"
"1544","Tantra Five","A CRITIQUE OF FORMAL RELIGIONS)","Precious is Hara’s Path"
"1545","Tantra Five","A CRITIQUE OF FORMAL RELIGIONS)","God is Beyond All Religions"
"1546","Tantra Five","A CRITIQUE OF FORMAL RELIGIONS)","True and False Faiths"
"1547","Tantra Five","A CRITIQUE OF FORMAL RELIGIONS)","Definition of Truth Path"
"1548","Tantra Five","A CRITIQUE OF FORMAL RELIGIONS)","Worldly Path is not True Path"
"1549","Tantra Five","A CRITIQUE OF FORMAL RELIGIONS)","True Path Leads Straight to Lord’s Presence"
"1550","Tantra Five","NIRACHARAM (DISSENSION REFUTED)","Who Attained Divine Tranquillity"
"1551","Tantra Five","NIRACHARAM (DISSENSION REFUTED)","Worship Siva and Siva Become"
"1552","Tantra Five","NIRACHARAM (DISSENSION REFUTED)","Worship Brings Immortal Life"
"1553","Tantra Five","NIRACHARAM (DISSENSION REFUTED)","Lord is Like Gentle Rain"
"1554","Tantra Five","NIRACHARAM (DISSENSION REFUTED)","Lord Guides the Boat of Life"
"1555","Tantra Five","NIRACHARAM (DISSENSION REFUTED)","Lord is Within You"
"1556","Tantra Five","NIRACHARAM (DISSENSION REFUTED)","Who Pursued False Faiths"
"1557","Tantra Five","INNER FAITHS","Lord Pervades All Six Inner Faiths"
"1558","Tantra Five","INNER FAITHS","All Faiths Lead but to Lord"
"1559","Tantra Five","INNER FAITHS","Come, Stand Apart and Seek the Lord"
"1560","Tantra Five","INNER FAITHS","“*You Are He’’ — Is the Teaching of the ‘True"
"1561","Tantra Five","INNER FAITHS","The True Path is Through Kundalini"
"1562","Tantra Five","INNER FAITHS","Lord Ever Guides"
"1563","Tantra Five","INNER FAITHS","Siva Path is Proven Path"
"1564","Tantra Five","INNER FAITHS","Vision of Light Effulgent in Saiva Path"
"1565","Tantra Five","INNER FAITHS","Vision Through Saiva Path"
"1566","Tantra Five","INNER FAITHS","Adoration of Siva is Bliss"
"1567","Tantra Five","INNER FAITHS","Saiva Path was Laid by Holy Nandi"
"1568","Tantra Five","INNER FAITHS","Attune to Infinity"
"1569","Tantra Five","INNER FAITHS","Siva is Inclusive of Jiva"
"1570","Tantra Five","INNER FAITHS","Lord is Beginning and End"
"1571","Tantra Five","INNER FAITHS","The Path of Siva Leads to Bliss"
"1572","Tantra Five","INNER FAITHS","Macrocosm in Microcasm — A Mystery"
"1573","Tantra Six","DARSHAN OF SIVA GURU","The Holy Guru is God Himself"
"1574","Tantra Six","DARSHAN OF SIVA GURU","Power of The Guru Presence"
"1575","Tantra Six","DARSHAN OF SIVA GURU","Attainments Through Guru’s Grace"
"1576","Tantra Six","DARSHAN OF SIVA GURU","Guru-Siva Parallelism"
"1577","Tantra Six","DARSHAN OF SIVA GURU","Compassionate Acts of Holy Guru"
"1578","Tantra Six","DARSHAN OF SIVA GURU","Discerning Holy Guru"
"1579","Tantra Six","DARSHAN OF SIVA GURU","All Good Attainable With Guru’s Grace"
"1580","Tantra Six","DARSHAN OF SIVA GURU","Siva Guru Like Siva Grants Supreme Liberation"
"1581","Tantra Six","DARSHAN OF SIVA GURU","Guru God Identity"
"1582","Tantra Six","DARSHAN OF SIVA GURU","Think of Siva and Be Siva"
"1583","Tantra Six","DARSHAN OF SIVA GURU","Nandi is Peerless Luminosity"
"1584","Tantra Six","DARSHAN OF SIVA GURU","Things That Flow From Guru’s Grace"
"1585","Tantra Six","DARSHAN OF SIVA GURU","Jnana Easy With Sakti’s Grace"
"1586","Tantra Six","DARSHAN OF SIVA GURU","When God Reveals Himself"
"1587","Tantra Six","DARSHAN OF SIVA GURU","Siva Jnana Leads to Sivananda"
"1588","Tantra Six","DARSHAN OF SIVA GURU","How Tirumular Ended Birth Cycle"
"1589","Tantra Six","DARSHAN OF SIVA GURU","How Tirumular Met the Lord"
"1590","Tantra Six","GRACE OF GURU’S FEET","Guru Blesses With His Hand on My Head"
"1591","Tantra Six","GRACE OF GURU’S FEET","Grace of Feet is Kingdom Won"
"1592","Tantra Six","GRACE OF GURU’S FEET","Guru is God in Human Form"
"1593","Tantra Six","GRACE OF GURU’S FEET","Guru United Me in Sivam"
"1594","Tantra Six","GRACE OF GURU’S FEET","Gurupara Worked for My Redemption"
"1595","Tantra Six","GRACE OF GURU’S FEET","How Guru Transformed Jiva Into Siva"
"1596","Tantra Six","GRACE OF GURU’S FEET","Guru’s Acts of Grace Beyond Description"
"1597","Tantra Six","GRACE OF GURU’S FEET","Master Nandi Ended My Birth-Cycle"
"1598","Tantra Six","GRACE OF GURU’S FEET","Greatness of Jnana of Holy Feet"
"1599","Tantra Six","GRACE OF GURU’S FEET","When True Enlightenment Comes"
"1600","Tantra Six","GRACE OF GURU’S FEET","Grace of Feet Granted Soul’s Liberation"
"1601","Tantra Six","GRACE OF GURU’S FEET","Grace of Feet Exceeds Kingly Greatness"
"1602","Tantra Six","GRACE OF GURU’S FEET","Truth of Hallowed Feet is End of Vedas"
"1603","Tantra Six","GRACE OF GURU’S FEET","Lord’s Feet is Goal of the Pure"
"1604","Tantra Six","GRACE OF GURU’S FEET","Lord’s Feet is All"
"1605","Tantra Six","KNOWER, KNOWLEDGE AND. KNOWN)","Goal of Sivananda is Ambrosial Bliss"
"1606","Tantra Six","KNOWER, KNOWLEDGE AND. KNOWN)","Knower—Knowledge—Known Relationship"
"1607","Tantra Six","KNOWER, KNOWLEDGE AND. KNOWN)","You and he"
"1608","Tantra Six","KNOWER, KNOWLEDGE AND. KNOWN)","Nandi Redeemed Me in Jneya"
"1609","Tantra Six","KNOWER, KNOWLEDGE AND. KNOWN)","Knowledge and Ignorance"
"1610","Tantra Six","KNOWER, KNOWLEDGE AND. KNOWN)","Wonders Nandi Showed"
"1611","Tantra Six","KNOWER, KNOWLEDGE AND. KNOWN)","Mauna’s Emanations"
"1612","Tantra Six","KNOWER, KNOWLEDGE AND. KNOWN)","Sunder Bonds of Birth at Feet of Guru"
"1613","Tantra Six","KNOWER, KNOWLEDGE AND. KNOWN)","In Jneya is the Primal Form of the Spirit"
"1614","Tantra Six","RENUNCIATION","God is Reached by Renunciation:"
"1615","Tantra Six","RENUNCIATION","Renunciation Leads to Light: _"
"1616","Tantra Six","RENUNCIATION","The Renunciate Lord Sunders Birth Bonds"
"1617","Tantra Six","RENUNCIATION","The Renunciate Shall Walk along the Straight"
"1618","Tantra Six","RENUNCIATION","Stand Steadfast.in the Goal of Tapas"
"1619","Tantra Six","RENUNCIATION","When ‘Grace Blossoms, Tapas 068565"
"1620","Tantra Six","RENUNCIATION","Liberation is for the Renunciate Alone"
"1621","Tantra Six","RENUNCIATION","When Distractions of Senses Cease"
"1622","Tantra Six","RENUNCIATION","None Knows How He. Comes"
"1623","Tantra Six","RENUNCIATION","The Yogi Espied the Mystic Flower in the"
"1624","Tantra Six","TAPAS","Blessings of the Placid Mind"
"1625","Tantra Six","TAPAS","Only the Blessed Know Greatness of Tapas"
"1626","Tantra Six","TAPAS","Tapasvin Ends Birth"
"1627","Tantra Six","TAPAS","Tapasvins Remain Impervious to Temptations"
"1628","Tantra Six","TAPAS","Only Tapasvins Can Approach Lord"
"1629","Tantra Six","TAPAS","When Mind Reaches Lord, He Reveals"
"1630","Tantra Six","TAPAS","Tapas Alone is Imperishable Wealth"
"1631","Tantra Six","TAPAS","Inward Look of Tapas Ends Birth"
"1632","Tantra Six","TAPAS","When Tapas is Needed"
"1633","Tantra Six","ABUSE OF TAPAS","When You Need not Renounce"
"1634","Tantra Six","ABUSE OF TAPAS","To Reach the Actionless State is Above All"
"1635","Tantra Six","ABUSE OF TAPAS","Fruit of Tapas"
"1636","Tantra Six","ABUSE OF TAPAS","Tapas is the Yearning of Heart"
"1637","Tantra Six","ABUSE OF TAPAS","Follow Tapasvins and Meet God"
"1638","Tantra Six","ABUSE OF TAPAS","Light of Tapas is Light of Self"
"1639","Tantra Six","ABUSE OF TAPAS","Tapas Gives Bhakti and Mukti"
"1640","Tantra Six","ABUSE OF TAPAS","Tapas is the Supreme Means"
"1641","Tantra Six","ABUSE OF TAPAS","Tapas is Single-mindedness"
"1642","Tantra Six","ABUSE OF TAPAS","They That Shun Tapas Hunger Forever"
"1643","Tantra Six","ABUSE OF TAPAS","Tapas is Control of Senses"
"1644","Tantra Six","ABUSE OF TAPAS","Tapas is Thought Becoming Siva"
"1645","Tantra Six","ABUSE OF TAPAS","Fruits of Lord's Grace"
"1646","Tantra Six","JNANA FLOWS FROM GOD’S GRACE","Fruits of Lord’s Grace"
"1647","Tantra Six","JNANA FLOWS FROM GOD’S GRACE","Jnana is Beyond Five Siva Tattvas"
"1648","Tantra Six","JNANA FLOWS FROM GOD’S GRACE","Jnana is Knowledge of Good and Evil"
"1649","Tantra Six","JNANA FLOWS FROM GOD’S GRACE","God Grants His Grace of Himself"
"1650","Tantra Six","JNANA FLOWS FROM GOD’S GRACE","Things That Come of Siva’s Grace"
"1651","Tantra Six","JNANA FLOWS FROM GOD’S GRACE","Grace Decides Your Birth To-Be"
"1652","Tantra Six","JNANA FLOWS FROM GOD’S GRACE","Grace Unites Soul in God"
"1653","Tantra Six","JNANA FLOWS FROM GOD’S GRACE","Tapasvins Will Receive Grace Even Hereafter"
"1654","Tantra Six","JNANA FLOWS FROM GOD’S GRACE","God is Beauty"
"1655","Tantra Six","JNANA FLOWS FROM GOD’S GRACE","I shall hold fast unto Nandi"
"1656","Tantra Six","FALSE ROBES","Men of false robes know not Siva"
"1657","Tantra Six","FALSE ROBES","Men of false robes bring famine"
"1658","Tantra Six","FALSE ROBES","Let Government lead people in the way of Virtue"
"1659","Tantra Six","FALSE ROBES","Why they don the Holy Robes"
"1660","Tantra Six","FALSE ROBES","Discerning eyes see through false robe"
"1661","Tantra Six","FALSE ROBES","True robe befits only true Tapasvins"
"1662","Tantra Six","FALSE ROBES","The insignia of Siva Yogins"
"1663","Tantra Six","ROBES OF TAPAS","Other insignia of Siva Yogin"
"1664","Tantra Six","ROBES OF TAPAS","Ten appurtenances of Siva Yogins"
"1665","Tantra Six","ROBES OF TAPAS","Other insignia of Siva Yogin"
"1666","Tantra Six","ROBES OF TAPAS","Ten appurtenances of Siva Yogins"
"1667","Tantra Six","HOLY. ASHES","Holy Ashes elevate to Brahma Status"
"1668","Tantra Six","HOLY. ASHES","Power of Holy Ashes"
"1669","Tantra Six","ROBES OF","Jnana is All; not robes"
"1670","Tantra Six","ROBES OF","Perfect Jnanis speak not"
"1671","Tantra Six","ROBES OF","Holy Ashes elevate to Brahma Status"
"1672","Tantra Six","JNANA","They Need No Paths"
"1673","Tantra Six","JNANA","Siva Jnanis are Quiescent"
"1674","Tantra Six","JNANA","Siva Jnanis alone are of the Holy Order"
"1675","Tantra Six","JNANA","Everything suits the Jnani"
"1676","Tantra Six","JNANA","वागा 15. 2 class apart"
"1677","Tantra Six","JNANA","Stages in Liberation process"
"1678","Tantra Six","SIVA ROBE","Liege-robe of Siva"
"1679","Tantra Six","SIVA ROBE","The robe is not: for Soul"
"1680","Tantra Six","SIVA ROBE","They of Siva-Robe are action-less"
"1681","Tantra Six","SIVA ROBE","Why the robe? Seek Nandi Yoga Way"
"1682","Tantra Six","THE UNFIT","Blind leading’ the Blind"
"1683","Tantra Six","THE UNFIT","They seek Worldly Pleasures"
"1684","Tantra Six","THE UNFIT","They know not the Mystery of Body"
"1685","Tantra Six","THE UNFIT","Realize Lord in Purity of thought, word and deed"
"1686","Tantra Six","THE UNFIT","Banish: False Disciples"
"1687","Tantra Six","THE UNFIT","Tapas consumes Karma"
"1688","Tantra Six","THE UNFIT","Qualities unbecoming Tapasvins"
"1689","Tantra Six","THE UNFIT","Inner Vision ends Births"
"1690","Tantra Six","THE UNFIT","No Grace for false Disciple"
"1691","Tantra Six","THE UNFIT","Other blemishes of false Disciples"
"1692","Tantra Six","THE FIT DISCIPLE","They who find the Path"
"1693","Tantra Six","THE FIT DISCIPLE","Lord! Grant me Your Grace"
"1694","Tantra Six","THE FIT DISCIPLE","Grace comes to those who contain their Thoughts"
"1695","Tantra Six","THE FIT DISCIPLE","Seek a proper Guru"
"1696","Tantra Six","THE FIT DISCIPLE","Auspicious Days for receiving Instruction"
"1697","Tantra Six","THE FIT DISCIPLE","Pure thoughts lead to Grace"
"1698","Tantra Six","THE FIT DISCIPLE","Attributes of Good Disciple"
"1699","Tantra Six","THE FIT DISCIPLE","Yet other qualities of Good Disciple"
"1700","Tantra Six","THE FIT DISCIPLE","The Power of Guru’s Feet"
"1701","Tantra Six","THE FIT DISCIPLE","What comes of touch of Guru’s Feet"
"1702","Tantra Six","THE FIT DISCIPLE","Rules of Instruction"
"1703","Tantra Six","THE FIT DISCIPLE","How the Jnana Guru Instructs"
"1704","Tantra Six","THE FIT DISCIPLE","True Disciple humbles before the Renunciate"
"1705","Tantra Six","THE FIT DISCIPLE","Good Disciple follows Guru like a shadow"
"1706","Tantra Seven","THE SIX ADHARAS","The Six Adharas and -their petals"
"1707","Tantra Seven","THE SIX ADHARAS","The Spheres of the upper Adharas"
"1708","Tantra Seven","THE SIX ADHARAS","Parapara pervades all the Six Adharas"
"1709","Tantra Seven","THE SIX ADHARAS","Experience is Adhara Yoga"
"1710","Tantra Seven","THE SIX ADHARAS","Ascending further above Six Adharas"
"1711","Tantra Seven","THE SIX ADHARAS","The One Letter ‘‘Aum’’ is beyond the Fifty"
"1712","Tantra Seven","THE SIX ADHARAS","The Letters Fifty the subtle in Adharas, and"
"1713","Tantra Seven","THE SIX ADHARAS","The Sixteen-Petalled Lotus in Visuddhi Adhara"
"1714","Tantra Seven","THE COSMIC LINGAM","Linga or Sadasiva is World manifest"
"1715","Tantra Seven","THE COSMIC LINGAM","Sakti in Sadasiva manifested as World"
"1716","Tantra Seven","THE COSMIC LINGAM","Sadasiva is the Adhvas too"
"1717","Tantra Seven","THE COSMIC LINGAM","Lord (Sadasiva) protects the Celestials from afar"
"1718","Tantra Seven","THE COSMIC LINGAM","Lord (Sadasiva) is the Light of Life of Gods"
"1719","Tantra Seven","THE COSMIC LINGAM","Lord is the Goiden support of Heart"
"1720","Tantra Seven","THE COSMIC LINGAM","Sadasiva (Linga)’s Form, manifest and subtle"
"1721","Tantra Seven","THE COSMIC LINGAM","How to fix Linga"
"1722","Tantra Seven","THE COSMIC LINGAM","How Linga is shaped"
"1723","Tantra Seven","THE COSMIC LINGAM","Lingas for the Four Varnas"
"1724","Tantra Seven","THE COSMIC LINGAM","No Single way of worship"
"1725","Tantra Seven","THE COSMIC LINGAM","God is Pervasive"
"1726","Tantra Seven","THE COSMIC LINGAM","Siva’s Pervasive Form"
"1727","Tantra Seven","THE COSMIC LINGAM","Siva’s Cosmic Form"
"1728","Tantra Seven","MICROCOSMIC (PINDA) LINGA","Human form is Siva Linga"
"1729","Tantra Seven","MICROCOSMIC (PINDA) LINGA","Lord opens the sense gates"
"1730","Tantra Seven","MICROCOSMIC (PINDA) LINGA","Sadasiva form with Five Faces"
"1731","Tantra Seven","MICROCOSMIC (PINDA) LINGA","In spite of having undergone innumerable cycles of birth, men"
"1732","Tantra Seven","MICROCOSMIC (PINDA) LINGA","६ | He who; our adoration received"
"1733","Tantra Seven","SADASIVA LINGAM","When Sakti further evolves"
"1734","Tantra Seven","SADASIVA LINGAM","‘ ; ; Brahma, Vishnu, Rudra, Mahesa,"
"1735","Tantra Seven","SADASIVA LINGAM","The Five Faces of Sadasiva and their Hues"
"1736","Tantra Seven","SADASIVA LINGAM","When Sakti further evolves"
"1737","Tantra Seven","SADASIVA LINGAM","Sakti evolves still further"
"1738","Tantra Seven","SIX","The Five Faces of Sadasiva and their Hues"
"1739","Tantra Seven","SIX","Sadasiva’s Form"
"1740","Tantra Seven","SIX","Sakti is the Kinetic and Siva the potential"
"1741","Tantra Seven","SIX","Sadasiva is Tattva (Truth) Real"
"1742","Tantra Seven","SIX","How Sakti dwells in the Five faces of Sadasiva"
"1743","Tantra Seven","SIX","Muse on Sadasiva’s Form"
"1744","Tantra Seven","SIX","Names of the Five Faces of Sadasiva"
"1745","Tantra Seven","SIX","How Sakti dwells in the Five faces of Sadasiva"
"1746","Tantra Seven","SIX","Form of Sakti in Sadasiva"
"1747","Tantra Seven","SIX","The Five Saktis are seated in Sadasiva"
"1748","Tantra Seven","SIX","Sakti in the First Three Adharas"
"1749","Tantra Seven","SIX","Sadasiva is seated in Sahasrara"
"1750","Tantra Seven","SIX","Sadasiva abides within body"
"1751","Tantra Seven","SIX","Sadasiva is realized in the Body"
"1752","Tantra Seven","SIX","The Lord is the Source of Light and Energy for"
"1753","Tantra Seven","SIX","The Lord is uncreated"
"1754","Tantra Seven","SIX","Bindu is the Support and Nada the Supported"
"1755","Tantra Seven","SIX","Linga is Aum"
"1756","Tantra Seven","ATMA LINGAM","In the Beginning was Aum"
"1757","Tantra Seven","ATMA LINGAM","Bindu is the Support:and Nada the Supported"
"1758","Tantra Seven","ATMA LINGAM","Siva-Sakti (Linga) is Static, Kinetic, Sadasiva"
"1759","Tantra Seven","ATMA LINGAM","Lord is Light and Support"
"1760","Tantra Seven","ATMA LINGAM","Linga Comprises both Bindu and Nada"
"1761","Tantra Seven","ATMA LINGAM","All’the Tattvas are in Linga"
"1762","Tantra Seven","ATMA LINGAM","Seek the Lord within and be Blessed"
"1763","Tantra Seven","ATMA LINGAM","Lord is Sovereign Supreme"
"1764","Tantra Seven","ATMA LINGAM","The Lord is tender as Mother -Cow"
"1765","Tantra Seven","ATMA LINGAM","Hold: Lord in Heart of Heart"
"1766","Tantra Seven","JNANA LINGAM","Lord is Bounteous"
"1767","Tantra Seven","JNANA LINGAM","Sadasiva is Form-Formless"
"1768","Tantra Seven","JNANA LINGAM","Seek Sadasiva"
"1769","Tantra Seven","JNANA LINGAM","Sadasiva Dispels Karmas"
"1770","Tantra Seven","JNANA LINGAM","Sadasiva dispenses Divine Justice"
"1771","Tantra Seven","JNANA LINGAM","Truth of Supreme Siva"
"1772","Tantra Seven","JNANA LINGAM","See Siva and Sakti and see All in Him"
"1773","Tantra Seven","JNANA LINGAM","Worship Siva-Sakti and Realize Jnana"
"1774","Tantra Seven","JNANA LINGAM","The Play of Sakti—Sakti activates Jiva"
"1775","Tantra Seven","JNANA LINGAM","All Creation is Sakti-Siva Play"
"1776","Tantra Seven","SIVA LINGAM","Siva is Immanent and Transcendent"
"1777","Tantra Seven","SIVA LINGAM","Only Way of Knowing Siva is Worship"
"1778","Tantra Seven","SIVA LINGAM","Worship Him as the One Being"
"1779","Tantra Seven","SIVA LINGAM","Linga’s Nine Aspects"
"1780","Tantra Seven","SIVA LINGAM","Rouse Kundalini and reach Supreme State"
"1781","Tantra Seven","SAMPRADAYA (HOLY TRADITION)","Lord appears as Siva Guru and gives initiation"
"1782","Tantra Seven","SAMPRADAYA (HOLY TRADITION)","Guru works for Disciple’s Redemption"
"1783","Tantra Seven","SAMPRADAYA (HOLY TRADITION)","Guru imparts the Secret Divine"
"1784","Tantra Seven","SAMPRADAYA (HOLY TRADITION)","Siva makes Jiva Pure as Himself"
"1785","Tantra Seven","SAMPRADAYA (HOLY TRADITION)","Siva Extricates Jiva from Maya"
"1786","Tantra Seven","SAMPRADAYA (HOLY TRADITION)","Siva takes Jiva into Himself"
"1787","Tantra Seven","SAMPRADAYA (HOLY TRADITION)","Siva by taking all, Gives All"
"1788","Tantra Seven","SAMPRADAYA (HOLY TRADITION)","Ghosts do not know the Truth of Life"
"1789","Tantra Seven","SAMPRADAYA (HOLY TRADITION)","Know the Finite Truth"
"1790","Tantra Seven","SAMPRADAYA (HOLY TRADITION)","Lord's Infinite Bounty"
"1791","Tantra Seven","SAMPRADAYA (HOLY TRADITION)","Siva and Jiva are inseparable"
"1792","Tantra Seven","SAMPRADAYA (HOLY TRADITION)","Knower becomes the Known"
"1793","Tantra Seven","SAMPRADAYA (HOLY TRADITION)","Lord’s Infinite Bounty"
"1794","Tantra Seven","SAMPRADAYA (HOLY TRADITION)","Lord wrought Me to Perfection"
"1795","Tantra Seven","PLACING OF GRACE","Lord Knows His Devotees in Time"
"1796","Tantra Seven","PLACING OF GRACE","Pray and receive Divine Light"
"1797","Tantra Seven","PLACING OF GRACE","God’s Grace Leads to illumination"
"1798","Tantra Seven","PLACING OF GRACE","Lord Knows His Devotees in Time"
"1799","Tantra Seven","PLACING OF GRACE","Lord, of Himself, will Know You"
"1800","Tantra Seven","PLACING OF GRACE","If I do not Know Lord who else shall?"
"1801","Tantra Seven","PLACING OF GRACE","Grace is All"
"1802","Tantra Seven","PLACING OF GRACE","Various Acts of Lord’s Grace"
"1803","Tantra Seven","PLACING OF GRACE","From Birth to Liberation — All Acts of Grace"
